PostgreSQL,PuzzleDB
TEXT,string
VARCHAR,string
CHAR,string
SMALLINT,int16
INTEGER,int32
BIGINT,int64
DECIMAL,-
NUMERIC,-
REAL,float32
DOUBLE PRECISION,float64
TIMESTAMP,timestamp
NULL,null
BOOLEAN,-
Bytea,[]byte
